2021-10-06 19:57:11.8255||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 19:58:55.2186||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 19:58:57.3136|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 19:58:57.8345||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 19:58:57.8345||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 19:58:57.8521||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 20:04:37.1219||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 20:04:39.2444|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 20:04:39.8111||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 20:04:39.8212||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 20:04:39.8212||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 20:09:17.4630||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 20:09:19.5667|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 20:09:20.0813||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 20:09:20.0900||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 20:09:20.0900||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 20:09:50.9990||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 20:09:53.0469|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 20:09:53.5963||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 20:09:53.6067||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 20:09:53.6067||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 20:30:53.3647||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 20:30:55.7688|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 20:30:56.4145||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 20:30:56.4145||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 20:30:56.4295||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 20:31:50.4130||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 20:31:52.2928|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 20:31:52.8244||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 20:31:52.8244||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
2021-10-06 20:31:52.8345||INFO|Microsoft.Hosting.Lifetime|Content root path: C:\Users\vuong\Desktop\SWR-VuonDauBE\VuonDau.WebApi |url: |action: 
2021-10-06 20:33:07.2474||DEBUG|VuonDau.WebApi.Program|init main |url: |action: 
2021-10-06 20:33:09.4736|10400|WARN|Microsoft.EntityFrameworkCore.Model.Validation|Sensitive data logging is enabled. Log entries and exception messages may include sensitive application data; this mode should only be enabled during development. |url: |action: 
2021-10-06 20:33:10.0005||INFO|Microsoft.Hosting.Lifetime|Application started. Press Ctrl+C to shut down. |url: |action: 
2021-10-06 20:33:10.0005||INFO|Microsoft.Hosting.Lifetime|Hosting environment: Development |url: |action: 
